Sample,Toploader,"n
(cm-2)","μ_xx
(cm^2/Vs)","μ_yy
(cm^2/Vs)",Average μ (cm^2/Vs),mean free path (nm),notes
JS949_center,,1.04E+12,5.99E+04,3.92E+03,3.19E+04,537,
JS949_north,,4.07E+11,9.16E+02,7.10E+02,8.13E+02,9,
JS948,,9.85E+11,3.59E+04,2.26E+03,1.91E+04,312,
JS947 (edge),,2.05E+12,1.20E+04,6.41E+03,9.21E+03,217,
JS946 (edge),,1.65E+12,1.61E+04,4.71E+03,1.04E+04,221,
JS946 (center),,1.46E+12,8.74E+03,7.22E+03,7.98E+03,159,
JS944 (edge),,1.82E+12,8.42E+02,6.72E+03,3.78E+03,84,
JS944 (center),,2.22E+12,7.82E+03,7.91E+03,7.87E+03,193,
JS942,,9.93E+12,6.44E+03,2.84E+03,4.64E+03,241,
JS941,,3.27E+12,5.63E+03,4.43E+03,5.03E+03,150,
JS940,,4.41E+12,3.36E+03,4.57E+03,3.97E+03,137,
JS938,,5.76E+12,5.74E+03,1.91E+03,3.83E+03,151,
JS937,,4.65E+12,3.71E+03,3.40E+03,3.56E+03,126,
JS934,,1.13E+13,6.12E+03,1.59E+03,3.86E+03,214,
JS932,,1.47E+13,4.60E+03,1.94E+03,3.27E+03,207,
JS930,,1.55E+13,1.31E+03,4.40E+03,2.86E+03,185,
JS928J,,,,,,,Pin failed while loading
JS922J,,1.39E+13,9.20E+02,2.08E+03,1.50E+03,92,
JS913J,,1.13E+12,4.09E+03,4.99E+03,4.54E+03,80,
JS912J,,9.41E+11,4.63E+03,6.01E+03,5.32E+03,85,
JS911J,,8.53E+11,1.81E+04,5.62E+03,1.19E+04,181,
JS906J,,2.19E+12,3.95E+01,1.22E+02,8.08E+01,2,
JS905J,,5.33E+11,3.01E+03,4.20E+02,1.72E+03,21,
JS903J,,5.02E+11,4.04E+03,3.59E+04,2.00E+04,233,
JS874J,,6.57E+11,1.88E+04,6.29E+03,1.25E+04,168,
JS872J,,6.99E+11,1.21E+04,2.01E+04,1.61E+04,222,
JS871J,,4.58E+11,4.44E+03,2.85E+03,3.65E+03,41,
JS870J,,7.91E+11,9.51E+03,1.59E+04,1.27E+04,186,
JS868J,,7.33E+11,1.43E+04,1.93E+04,1.68E+04,237,
JS867J,,7.74E+11,2.02E+04,3.80E+03,1.20E+04,174,
JS865J,,2.08E+12,4.71E+03,7.18E+03,5.95E+03,141,
JS863J,,7.21E+11,2.95E+04,9.31E+03,1.94E+04,272,
JS862 (overgrowth),,3.95E+12,7.50E+02,8.00E+02,7.75E+02,25,
JS860J,,7.94E+11,7.03E+03,1.80E+04,1.25E+04,184,
JS859J,,4.27E+12,1.46E+03,6.27E+03,3.87E+03,132,
JS858J,,1.27E+12,6.69E+03,2.34E+04,1.50E+04,280,
JS857J,,1.47E+12,2.11E+04,9.27E+02,1.10E+04,220,
JS856J - should redo,,,,,,,
JS855J - should redo,,,,,,,
JS856J new,,8.79E+11,-2.48E+05,2.37E+02,-1.24E+05,-1916,???
JS855J new,,2.31E+12,1.46E+03,7.03E+02,1.08E+03,27,
JS854J,,3.83E+12,4.12E+03,4.78E+03,4.45E+03,144,
JS853J,,2.65E+12,4.58E+03,6.26E+03,5.42E+03,146,
JS851,,1.45E+12,8.92E+03,8.86E+03,8.89E+03,177,
JS850,,1.37E+12,7.05E+03,8.89E+03,7.97E+03,154,
JS849J,,3.74E+12,5.95E+04,1.09E+03,3.03E+04,967,
JS848,,3.51E+12,8.35E+03,3.26E+03,5.81E+03,179,
JS847,,1.15E+14,1.70E+00,6.65E-01,1.18E+00,0,
JS846J,,1.01E+12,1.85E+03,8.96E+03,5.41E+03,90,
JS845J,,1.37E+12,3.13E+04,1.56E+03,1.64E+04,317,
JS844J,,1.18E+12,1.30E+04,7.51E+03,1.03E+04,184,
JS843J,,1.55E+12,7.38E+03,1.97E+04,1.35E+04,278,
JS842J,,8.67E+11,7.55E+03,5.89E+03,6.72E+03,103,
JS841J,,6.25E+11,1.64E+04,8.20E+03,1.23E+04,160,
